keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Comeback,-8.340739689921184,3.181277127066145e-13,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-10.342394162695287,2.6642281514517484e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1571,0.3738,0.4317,0.4198,0.5482,0.5349,0.2643
Corona,-2.4617243394837205,0.12506706340818963,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.6522367987882647,0.08267427523297205,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1391,0.1315,0.2272,0.4454,0.3999,0.5833,0.7906
Corona-Pandemie,-0.9563989782777175,0.7688329145522437,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-5.345141273381552,4.41196463674315e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.9582,0.1945,0.0553,0.0208,0.0399,0.0788,0.1305
Coronakrise,-10.409092356622548,1.823907377653371e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.080234230078333,0.001044006677637612,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.0327,0.0658,0.1146,0.0677,0.0656,0.1832,0.1002
Coronapandemie,-7.143685062069249,3.274292121975572e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.4094062164809253,0.01064236336598052,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.1641,0.1163,0.101,0.0803,0.0957,0.1249,0.0771
Coronavirus,-1.9158361300152622,0.3246483593177659,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.283135585236397,0.015649351189200432,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.8678,0.1559,0.285,0.3756,0.2992,0.2067,0.2847
Covid-19,-4.442358199044635,0.00024958138475165406,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-7.624159544824617,2.090100392309957e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7609,0.457,0.61,0.6862,0.7208,0.7456,0.6493
Da,-13.26162557906642,8.37580166394859e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-13.15318730975614,1.3537887353237319e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9409,0.4689,0.0944,0.0913,0.0385,0.0407,0.0621
Darmstadt,-2.8136167471588616,0.056354883690362415,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-3.235179649877885,0.018036539305401018,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0916,0.0349,0.1421,0.1651,0.0961,0.1043,0.2375
Daten,-2.357931309369372,0.15396359000812643,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-11.521098564190561,4.0383164844988984e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5888,0.8254,0.934,0.9633,0.9763,0.9845,0.8002
